Date,Open,High,Low,Close,Volume
2017-07-17,75.0,75.0,70.0,70.0,33982
2017-07-18,70.5,72.0,69.92,70.0,35719
2017-07-19,67.92,69.51,67.8,68.95,1805
2017-07-20,69.75,70.0,69.0,69.0,28390
2017-07-21,70.0,70.0,68.56,68.92,1562
2017-07-24,69.0,69.29,69.0,69.0,4650
2017-07-25,69.15,69.15,68.95,69.08,1362
2017-07-26,,,,69.08,0
2017-07-27,69.25,69.25,68.0,68.0,12970
2017-07-28,67.26,67.26,67.26,67.26,101
2017-07-31,67.7,67.7,65.28,66.0,19079
2017-08-01,66.65,66.86,66.23,66.25,26784
2017-08-02,65.98,66.06,64.83,64.89,112432
2017-08-03,65.0,65.5,63.5,64.0,34296
2017-08-04,64.94,65.05,64.44,64.57,335368
2017-08-07,62.75,62.85,60.58,61.72,11208105
2017-08-08,61.06,61.5,56.59,56.9,4124459
2017-08-09,56.01,57.12,54.94,56.72,4514392
2017-08-10,56.55,59.49,56.0,58.5,3231812
2017-08-11,58.1,58.48,57.04,57.97,1751524
2017-08-14,57.42,58.53,57.0,57.36,2391833
2017-08-15,57.48,59.0,57.11,58.01,1815953
2017-08-16,57.51,58.72,56.97,57.5,3090574
2017-08-17,57.05,57.58,55.16,55.97,1922733
2017-08-18,55.69,57.92,55.18,57.45,2680992
2017-08-21,57.0,57.94,56.62,56.86,1482007
2017-08-22,56.92,57.8,56.57,57.21,1202553
2017-08-23,56.76,57.29,56.24,56.65,1272269
2017-08-24,56.39,56.64,55.11,55.32,1312191
2017-08-25,55.53,56.63,54.9,55.54,1080305
2017-08-28,55.78,55.98,55.16,55.34,720494
2017-08-29,55.25,55.87,54.77,55.76,1221183
2017-08-30,55.48,57.47,55.35,57.1,1200353
2017-08-31,57.06,57.4,56.21,57.07,1722761
2017-09-01,56.9,57.98,56.36,57.49,945958
2017-09-05,57.19,57.19,53.69,54.08,2855653
2017-09-06,54.33,54.59,52.94,53.18,1781390
2017-09-07,53.36,53.68,52.75,53.0,1359607
2017-09-08,53.0,54.59,52.95,54.54,1039377
2017-09-11,55.08,56.0,54.83,55.11,1125997
2017-09-12,55.11,55.98,54.53,55.19,1339437
2017-09-13,54.91,55.4,54.77,55.35,848884
2017-09-14,55.12,55.69,54.95,55.62,1115182
2017-09-15,55.5,56.59,55.24,56.56,1680274
2017-09-18,56.75,57.4,56.41,57.21,1086316
2017-09-19,57.09,57.31,56.77,56.93,989375
2017-09-20,56.55,57.54,56.5,57.49,723273
2017-09-21,57.28,58.06,57.15,57.68,655886
2017-09-22,57.06,58.55,56.81,58.35,903265
2017-09-25,57.8,58.94,57.45,58.68,924909
2017-09-26,58.99,60.84,58.5,60.64,946396
2017-09-27,60.68,61.92,60.28,61.29,1262770
2017-09-28,61.2,61.2,59.34,60.43,1219296
2017-09-29,60.16,61.13,60.16,60.8,628050
2017-10-02,60.75,61.05,59.92,60.99,892530
